Strike,Tenor,Alpha,Beta,Nu,Rho,Strike_0,Nu_0,FDM_vol,Hagan_vol
-0.5,14,0.001,0.001,2,0.35,0.9981309202158065,0.5345224838248488,0.0011604235856224952,0.0012566562505685176
0.5,24,0.02,0.3,0.1,-0.1,1.0502096331444513,0.020412414523193152,0.01965491327403723,0.019635832070918624
-2,10,0.07,0.05,0.5,-0.05,0.6422877465068456,0.15811388300841897,0.0971355689718272,0.09743834834372998
-1,1,0.07,0.45,1,-0.25,0.9323938199059483,1.0,0.09014311413236706,0.09330023167354759
-0.75,16,0.07,0.1,2,0.1,0.8105842459701871,0.5,0.09271094671342456,0.12037731463402297
-2,6,0.05,0.35,0.1,0.4,0.7827444773247475,0.040824829046386304,0.05244627942198652,0.05241792027648767
2,1,0.02,0.35,0.5,-0.1,1.0408107741923882,0.5,0.02203342488641918,0.022127811817370946
0.25,4,0.05,0.4,3.5,-0.25,1.0253151205244289,1.75,0.05201949027594754,0.09653875519983884
2,0.5,0.06,0.15,1,0,1.0885568343000434,1.414213562373095,0.0840101354663832,0.08806058800060536
-1.5,18,0.001,0.1,1.5,0.05,0.993656246080841,0.3535533905932738,0.0015162446509658035,0.0016920227306535815
1,1.5,0.02,0.5,0.5,0.2,1.0247973619913604,0.4082482904638631,0.02187160781497291,0.021967655468412943
0.25,21,0.04,0.15,4,-0.4,1.0468919814115345,0.8728715609439696,0.032358102016526745,0.07584044985451853
0,9,0.07,0.1,4,0.2,1.0,1.3333333333333333,0.06312083262605117,0.15813151958333332
0.75,12,0.01,0.1,4,0.15,1.0263212040327203,1.1547005383792517,0.0151323320495087,0.039572169996980926
-1.25,21,0.06,0.4,1.5,-0.4,0.7091464770365301,0.3273268353539886,0.09425179823246492,0.1109461778108751
-2,16,0.01,0.3,0.5,0.15,0.9231163463866358,0.125,0.011224661195687945,0.011230837389618692
0,7,0.08,0.25,3.5,0.1,1.0,1.3228756555322951,0.07801472889725428,0.1608960718502157
-0.5,10,0.03,0.25,1,-0.1,0.9536732562377208,0.31622776601683794,0.03445117727714449,0.0350062395894586
-0.5,8,0.04,0.4,3,-0.4,0.9450017095003759,1.0606601717798212,0.051817213469886804,0.08977320288756391
0.75,0.5,0.001,0.1,2,-0.1,1.0005304707357525,2.82842712474619,0.001384630828006429,0.001603464627882772
-1.5,24,0.09,0.45,1,0.05,0.5161477431489071,0.20412414523193154,0.1293938568000359,0.1370493953771471
-2,8,0.06,0.35,2.5,0.4,0.7121894973843429,0.8838834764831843,0.1104049600248842,0.1613530707674111
-0.5,18,0.07,0.45,2.5,-0.25,0.8620065376649015,0.5892556509887896,0.08371431357438754,0.13536210952207894
-1.25,3,0.001,0.15,2,0.25,0.9978372785499982,1.1547005383792517,0.001470297243260096,0.001774776386173762
-0.75,30,0.01,0.05,4,0.2,0.9597531223485657,0.7302967433402214,0.013869014924188943,0.03457767131285596
-1.75,0.5,0.04,0.1,4.5,-0.05,0.9517075614966561,6.363961030678928,0.08336158121821785,0.31318263276655595
1,2,0.001,0.1,2.5,-0.2,1.0014152140339443,1.7677669529663687,0.0015115936551270501,0.0020776180769201827
-1.75,9,0.04,0.2,4.5,-0.15,0.8105842459701871,1.5,0.0734067517742413,0.32306356987667995
-1.5,12,0.04,0.4,0.5,-0.2,0.8123320475055448,0.14433756729740646,0.048693270058027954,0.04898126053037009
-1.5,24,0.01,0.5,1.5,-0.15,0.9291503688530943,0.3061862178478973,0.016062645820595915,0.018269408955138806
-2,1.5,0.03,0.1,1,0.2,0.9291503688530943,0.8164965809277261,0.0407821755387374,0.04204560586938647
0,21,0.04,0.4,4.5,-0.1,1.0,0.9819805060619657,0.03304380173186268,0.10617771454996318
-1.25,7,0.05,0.45,4.5,0.05,0.8475889775816061,1.7008401285415224,0.07556916175699858,0.3112207429984006
2,1.5,0.07,0.3,2.5,0.05,1.1870417432119493,2.041241452319315,0.1398275336490727,0.22798321834977817
-1.5,5,0.02,0.1,0.5,-0.05,0.9351184817007782,0.22360679774997896,0.022892529191266362,0.022991411330834932
0.75,4,0.03,0.15,4.5,-0.3,1.046027859908717,2.25,0.03592376488409982,0.11222518598260425
0.5,1,0.04,0.001,5,-0.05,1.0202013400267558,5.0,0.046608645601879044,0.18207618177268303
1.25,1.5,0.04,0.5,1.5,-0.1,1.0631511100344377,1.2247448713915892,0.055283326271448587,0.06093155381092211
-0.25,0.5,0.07,0.25,5,-0.05,0.9877018789995915,7.071067811865475,0.07223501702089793,0.26226041482930523
-1.5,30,0.01,0.2,5,-0.3,0.9211260558578208,0.9128709291752769,0.017827749274452114,0.0853813603152846
2,21,0.001,0.2,3.5,-0.2,1.0092072799965708,0.7637626158259734,0.002159394467949612,0.004825988848120016
0,12,0.02,0.5,2,-0.35,1.0,0.5773502691896258,0.023020339728166268,0.025321423110136847
